entity:sample_id	bam_or_cram_file
HG00096	HG00096.cram
HG00129	HG00129.cram
HG00140	HG00140.cram
HG00150	HG00150.cram
HG00187	HG00187.cram
HG00239	HG00239.cram
HG00277	HG00277.cram
HG00288	HG00288.cram
HG00337	HG00337.cram
HG00349	HG00349.cram
HG00375	HG00375.cram
HG00410	HG00410.cram
HG00457	HG00457.cram
HG00557	HG00557.cram
HG00599	HG00599.cram
HG00625	HG00625.cram
HG00701	HG00701.cram
HG00740	HG00740.cram
HG00844	HG00844.cram
HG01060	HG01060.cram
HG01085	HG01085.cram
HG01112	HG01112.cram
HG01275	HG01275.cram
HG01325	HG01325.cram
HG01344	HG01344.cram
HG01356	HG01356.cram
HG01384	HG01384.cram
HG01393	HG01393.cram
HG01396	HG01396.cram
HG01474	HG01474.cram
HG01507	HG01507.cram
HG01572	HG01572.cram
HG01607	HG01607.cram
HG01709	HG01709.cram
HG01747	HG01747.cram
HG01790	HG01790.cram
HG01794	HG01794.cram
HG01799	HG01799.cram
HG01861	HG01861.cram
HG01874	HG01874.cram
HG01880	HG01880.cram
HG01885	HG01885.cram
HG01958	HG01958.cram
HG01982	HG01982.cram
HG02002	HG02002.cram
HG02010	HG02010.cram
HG02019	HG02019.cram
HG02020	HG02020.cram
HG02069	HG02069.cram
HG02085	HG02085.cram
HG02186	HG02186.cram
HG02221	HG02221.cram
HG02235	HG02235.cram
HG02272	HG02272.cram
HG02275	HG02275.cram
HG02299	HG02299.cram
HG02332	HG02332.cram
HG02367	HG02367.cram
HG02374	HG02374.cram
HG02489	HG02489.cram
HG02490	HG02490.cram
HG02491	HG02491.cram
HG02586	HG02586.cram
HG02588	HG02588.cram
HG02611	HG02611.cram
HG02620	HG02620.cram
HG02642	HG02642.cram
HG02648	HG02648.cram
HG02658	HG02658.cram
HG02855	HG02855.cram
HG02953	HG02953.cram
HG03007	HG03007.cram
HG03009	HG03009.cram
HG03085	HG03085.cram
HG03099	HG03099.cram
HG03100	HG03100.cram
HG03111	HG03111.cram
HG03369	HG03369.cram
HG03370	HG03370.cram
HG03436	HG03436.cram
HG03449	HG03449.cram
HG03472	HG03472.cram
HG03476	HG03476.cram
HG03556	HG03556.cram
HG03604	HG03604.cram
HG03649	HG03649.cram
HG03684	HG03684.cram
HG03694	HG03694.cram
HG03709	HG03709.cram
HG03722	HG03722.cram
HG03727	HG03727.cram
HG03744	HG03744.cram
HG03756	HG03756.cram
HG03789	HG03789.cram
HG03850	HG03850.cram
HG03864	HG03864.cram
HG03872	HG03872.cram
HG03888	HG03888.cram
HG04118	HG04118.cram
HG04158	HG04158.cram
HG04161	HG04161.cram
HG04183	HG04183.cram
NA06984	NA06984.cram
NA10847	NA10847.cram
NA11894	NA11894.cram
NA12340	NA12340.cram
NA12489	NA12489.cram
NA12872	NA12872.cram
NA18499	NA18499.cram
NA18507	NA18507.cram
NA18530	NA18530.cram
NA18539	NA18539.cram
NA18549	NA18549.cram
NA18553	NA18553.cram
NA18560	NA18560.cram
NA18638	NA18638.cram
NA18923	NA18923.cram
NA18941	NA18941.cram
NA18945	NA18945.cram
NA18956	NA18956.cram
NA18995	NA18995.cram
NA19001	NA19001.cram
NA19035	NA19035.cram
NA19062	NA19062.cram
NA19102	NA19102.cram
NA19143	NA19143.cram
NA19184	NA19184.cram
NA19350	NA19350.cram
NA19351	NA19351.cram
NA19377	NA19377.cram
NA19443	NA19443.cram
NA19449	NA19449.cram
NA19661	NA19661.cram
NA19678	NA19678.cram
NA19679	NA19679.cram
NA19684	NA19684.cram
NA19746	NA19746.cram
NA19795	NA19795.cram
NA19818	NA19818.cram
NA19913	NA19913.cram
NA20126	NA20126.cram
NA20320	NA20320.cram
NA20321	NA20321.cram
NA20346	NA20346.cram
NA20509	NA20509.cram
NA20510	NA20510.cram
NA20522	NA20522.cram
NA20752	NA20752.cram
NA20764	NA20764.cram
NA20802	NA20802.cram
NA20845	NA20845.cram
NA20869	NA20869.cram
NA20895	NA20895.cram
NA21102	NA21102.cram
NA21122	NA21122.cram
NA21133	NA21133.cram
