membership:sample_set_id	sample
all_but_hg00096	HG00129
all_but_hg00096	HG00140
all_but_hg00096	HG00150
all_but_hg00096	HG00187
all_but_hg00096	HG00239
all_but_hg00096	HG00277
all_but_hg00096	HG00288
all_but_hg00096	HG00337
all_but_hg00096	HG00349
all_but_hg00096	HG00375
all_but_hg00096	HG00410
all_but_hg00096	HG00457
all_but_hg00096	HG00557
all_but_hg00096	HG00599
all_but_hg00096	HG00625
all_but_hg00096	HG00701
all_but_hg00096	HG00740
all_but_hg00096	HG00844
all_but_hg00096	HG01060
all_but_hg00096	HG01085
all_but_hg00096	HG01112
all_but_hg00096	HG01275
all_but_hg00096	HG01325
all_but_hg00096	HG01344
all_but_hg00096	HG01356
all_but_hg00096	HG01384
all_but_hg00096	HG01393
all_but_hg00096	HG01396
all_but_hg00096	HG01474
all_but_hg00096	HG01507
all_but_hg00096	HG01572
all_but_hg00096	HG01607
all_but_hg00096	HG01709
all_but_hg00096	HG01747
all_but_hg00096	HG01790
all_but_hg00096	HG01794
all_but_hg00096	HG01799
all_but_hg00096	HG01861
all_but_hg00096	HG01874
all_but_hg00096	HG01880
all_but_hg00096	HG01885
all_but_hg00096	HG01958
all_but_hg00096	HG01982
all_but_hg00096	HG02002
all_but_hg00096	HG02010
all_but_hg00096	HG02019
all_but_hg00096	HG02020
all_but_hg00096	HG02069
all_but_hg00096	HG02085
all_but_hg00096	HG02186
all_but_hg00096	HG02221
all_but_hg00096	HG02235
all_but_hg00096	HG02272
all_but_hg00096	HG02275
all_but_hg00096	HG02299
all_but_hg00096	HG02332
all_but_hg00096	HG02367
all_but_hg00096	HG02374
all_but_hg00096	HG02489
all_but_hg00096	HG02490
all_but_hg00096	HG02491
all_but_hg00096	HG02586
all_but_hg00096	HG02588
all_but_hg00096	HG02611
all_but_hg00096	HG02620
all_but_hg00096	HG02642
all_but_hg00096	HG02648
all_but_hg00096	HG02658
all_but_hg00096	HG02855
all_but_hg00096	HG02953
all_but_hg00096	HG03007
all_but_hg00096	HG03009
all_but_hg00096	HG03085
all_but_hg00096	HG03099
all_but_hg00096	HG03100
all_but_hg00096	HG03111
all_but_hg00096	HG03369
all_but_hg00096	HG03370
all_but_hg00096	HG03436
all_but_hg00096	HG03449
all_but_hg00096	HG03472
all_but_hg00096	HG03476
all_but_hg00096	HG03556
all_but_hg00096	HG03604
all_but_hg00096	HG03649
all_but_hg00096	HG03684
all_but_hg00096	HG03694
all_but_hg00096	HG03709
all_but_hg00096	HG03722
all_but_hg00096	HG03727
all_but_hg00096	HG03744
all_but_hg00096	HG03756
all_but_hg00096	HG03789
all_but_hg00096	HG03850
all_but_hg00096	HG03864
all_but_hg00096	HG03872
all_but_hg00096	HG03888
all_but_hg00096	HG04118
all_but_hg00096	HG04158
all_but_hg00096	HG04161
all_but_hg00096	HG04183
all_but_hg00096	NA06984
all_but_hg00096	NA10847
all_but_hg00096	NA11894
all_but_hg00096	NA12340
all_but_hg00096	NA12489
all_but_hg00096	NA12872
all_but_hg00096	NA18499
all_but_hg00096	NA18507
all_but_hg00096	NA18530
all_but_hg00096	NA18539
all_but_hg00096	NA18549
all_but_hg00096	NA18553
all_but_hg00096	NA18560
all_but_hg00096	NA18638
all_but_hg00096	NA18923
all_but_hg00096	NA18941
all_but_hg00096	NA18945
all_but_hg00096	NA18956
all_but_hg00096	NA18995
all_but_hg00096	NA19001
all_but_hg00096	NA19035
all_but_hg00096	NA19062
all_but_hg00096	NA19102
all_but_hg00096	NA19143
all_but_hg00096	NA19184
all_but_hg00096	NA19350
all_but_hg00096	NA19351
all_but_hg00096	NA19377
all_but_hg00096	NA19443
all_but_hg00096	NA19449
all_but_hg00096	NA19661
all_but_hg00096	NA19678
all_but_hg00096	NA19679
all_but_hg00096	NA19684
all_but_hg00096	NA19746
all_but_hg00096	NA19795
all_but_hg00096	NA19818
all_but_hg00096	NA19913
all_but_hg00096	NA20126
all_but_hg00096	NA20320
all_but_hg00096	NA20321
all_but_hg00096	NA20346
all_but_hg00096	NA20509
all_but_hg00096	NA20510
all_but_hg00096	NA20522
all_but_hg00096	NA20752
all_but_hg00096	NA20764
all_but_hg00096	NA20802
all_but_hg00096	NA20845
all_but_hg00096	NA20869
all_but_hg00096	NA20895
all_but_hg00096	NA21102
all_but_hg00096	NA21122
all_but_hg00096	NA21133
all_samples	HG00096
all_samples	NA18956
all_samples	HG01344
all_samples	HG03888
all_samples	HG01474
all_samples	NA19679
all_samples	HG02235
all_samples	HG00140
all_samples	NA18539
all_samples	NA18549
all_samples	HG02010
all_samples	NA18995
all_samples	HG02186
all_samples	NA20752
all_samples	HG04161
all_samples	HG03085
all_samples	HG01275
all_samples	HG00239
all_samples	HG03436
all_samples	HG02069
all_samples	NA18499
all_samples	NA19684
all_samples	NA20845
all_samples	HG02332
all_samples	HG03099
all_samples	HG03709
all_samples	NA18941
all_samples	HG00599
all_samples	HG02490
all_samples	HG01799
all_samples	NA19350
all_samples	HG03684
all_samples	NA11894
all_samples	HG03649
all_samples	HG04183
all_samples	NA19746
all_samples	HG00625
all_samples	HG02611
all_samples	HG02489
all_samples	NA18638
all_samples	HG04158
all_samples	NA19035
all_samples	NA10847
all_samples	HG04118
all_samples	HG02272
all_samples	HG01112
all_samples	HG02588
all_samples	NA19443
all_samples	NA19001
all_samples	NA19449
all_samples	HG03756
all_samples	NA18945
all_samples	HG01958
all_samples	NA21122
all_samples	NA20895
all_samples	HG03449
all_samples	HG03369
all_samples	HG03007
all_samples	NA20869
all_samples	HG02002
all_samples	HG01507
all_samples	NA12340
all_samples	HG03604
all_samples	NA19678
all_samples	NA18560
all_samples	HG03694
all_samples	NA19818
all_samples	HG01384
